Shop Name,Similar Names
BEN'S COLLECTIONS,"['S COLLECTION', 'YEN COLLECTION']"
BERRIES WORLD OF LEARNING SCHOOL,['BERRIES WORLD OF LEARNING SCHOOL (CW)']
BERRIES WORLD OF LEARNING SCHOOL (CW),['BERRIES WORLD OF LEARNING SCHOOL']
BETTER VISION,['WESTERN VISION']
BIENA NAILS,['LINDA NAILS']
BIO AESTHETIC,"['BON AESTHETICS', 'ICON AESTHETICS', 'IMAGO AESTHETIC', 'IVI AESTHETIC']"
BIZEN OKAYAMA WAGYU STEAKHOUSE,['BIZEN OKAYAMA WAYGU STEAKHOUSE']
BIZEN OKAYAMA WAYGU STEAKHOUSE,['BIZEN OKAYAMA WAGYU STEAKHOUSE']
BJ LUXURY,"['HJ LUXURY', 'JW LUXURY']"
BK AESTHETICS CLINIC,"['MIZU AESTHETIC CLINIC', 'SL AESTHETIC CLINIC']"
BLOOM,['BLOOMB']
BLOOMB,['BLOOM']
BLUSH,['LUSH']
BON AESTHETICS,"['BIO AESTHETIC', 'ICON AESTHETICS', 'MODE AESTHETICS', 'MOZA AESTHETICS']"
BON BON BLOWOUT BAR,['BONBON BLOWOUT BAR']
BONBON BLOWOUT BAR,['BON BON BLOWOUT BAR']
BOOST JUICE BAR,['BOOST JUICE BARS']
BOOST JUICE BARS,['BOOST JUICE BAR']
BOTAN JAPANESE RESTAURANT,"['AKASHI JAPANESE RESTAURANT', 'IKURA JAPANESE RESTAURANT', 'MITSUBA JAPANESE RESTAURANT', 'OOTOYA JAPANESE RESTAURANT']"
BOUNCEFIT STUDIOS,['BBOUNCE STUDIO']
BUGIS MONEY CHANGER,['SINO MONEY CHANGER']
BUTTER STUDIO,['IBEAUTE STUDIO']
CANTON PARADISE,['OCEAN PARADISE']
CARL'S JR,['CARL’S JR']
CARL’S JR,"[""CARL'S JR""]"
CARTIER AT CORTINA WATCH,"['CHOPARD AT CORTINA WATCH', 'ROLEX AT CORTINA WATCH', 'TUDOR AT CORTINA WATCH']"
CASH STUDIO,['SHE STUDIO']
CAT & THE FIDDLE,['CAT & THE FIDDLE CAFE']
CAT & THE FIDDLE CAFE,['CAT & THE FIDDLE']
CEDELE BAKERY CAFE,['CEDELE BAKERY KITCHEN']
CEDELE BAKERY KITCHEN,['CEDELE BAKERY CAFE']
CHANDRA EXCHANGE,['SHARA EXCHANGE']
CHARCOAL HOUSE,['ECOK CHARCOAL HOUSE']
CHEERS,['CHERIS']
CHEFS' PLAYGROUND,['THE PLAYGROUND']
CHEONGDAM KOREAN SKIN MANAGEMENT,['CHEONGDAM SKIN MANAGEMENT']
CHEONGDAM SKIN MANAGEMENT,['CHEONGDAM KOREAN SKIN MANAGEMENT']
CHERIS,['CHEERS']
CHERIS COLLECTION,['S COLLECTION']
CHEWY JUNIOR,['CHEWY JUNIOR LUXE']
CHEWY JUNIOR LUXE,['CHEWY JUNIOR']
CHIC-A-BOO CHICKEN SPECIALITY,['CHIC-A-BOO CHICKEN SPECIALTY']
CHIC-A-BOO CHICKEN SPECIALTY,['CHIC-A-BOO CHICKEN SPECIALITY']
CHINESE MEDICAL CENTRE,['MINT MEDICAL CENTRE']
CHOON HENG SNACK BAR,['HENG HENG SNACK BAR']
CHOPARD AT CORTINA WATCH,"['CARTIER AT CORTINA WATCH', 'TUDOR AT CORTINA WATCH']"
CITI BEAUTY AESTHETIC,"['CITI BEAUTY AESTHETICS', 'K&M BEAUTY AESTHETIC']"
CITI BEAUTY AESTHETICS,"['CITI BEAUTY AESTHETIC', 'K&M BEAUTY AESTHETIC']"
CITY HOT POT,['旺爐 CITY HOT POT']
CLICK,['CLICK!']
CLICK!,['CLICK']
CLOUD 9 STUDIO,['CLOUD9 STUDIO']
CLOUD9 STUDIO,['CLOUD 9 STUDIO']
CLOVE,['CLOVERS']
CLOVERS,['CLOVE']
COLLIN'S,"[""COLLIN'S®""]"
COLLIN'S®,"[""COLLIN'S""]"
COMPASS FOREIGN EXCHANGE,['AJS FOREIGN EXCHANGE']
CORE CLINIC,['SHOE CLINIC']
COU COU HOT POT BREW TEA,['COUCOU HOTPOT‧BREW TEA']
COUCOU HOTPOT‧BREW TEA,['COU COU HOT POT BREW TEA']
CREME HAIRDRESSING,['MUSE HAIRDRESSING']
CRYSTAL JADE LA MIAN XIAO LONG BAO,['CRYSTAL JADE LA MIAN XLB']
CRYSTAL JADE LA MIAN XLB,['CRYSTAL JADE LA MIAN XIAO LONG BAO']
CSK LASER AESTHETIC CLINIC,['SL AESTHETIC CLINIC']
CURAMED MEDICAL CLINIC,['TRUE MEDICAL CLINIC']
CUSTOMER SERVICE COUNTER (CAUSEWAY POINT),['CUSTOMER SERVICE COUNTER (THE CENTREPOINT)']
CUSTOMER SERVICE COUNTER (THE CENTREPOINT),['CUSTOMER SERVICE COUNTER (CAUSEWAY POINT)']
D&A JEWELLERY,"['AI JEWELLERY', 'TAKA JEWELLERY']"
D&H FASHION,['H G FASHION']
D'PENYETZ,['D’PENYETZ']
DAISO JAPAN X THREEPPY,['DAISO X THREEPPY']
DAISO X THREEPPY,['DAISO JAPAN X THREEPPY']
DAMARA BEAUTY,['DEAR BEAUTY']
DBOM HAIR,['DO MY HAIR']
DE ARTE HAIR STUDIO,"['DE HAIR STUDIO', 'DEGREE HAIR STUDIO', 'LEWAVE HAIR STUDIO']"
DE DENTAL PRACTICE TWO,['THE DENTAL PRACTICE']
DE HAIR STUDIO,"['2NE HAIR STUDIO', 'DE ARTE HAIR STUDIO', 'DEGREE HAIR STUDIO', 'ELAN HAIR STUDIO', 'IMAGE HAIR STUDIO', 'KIMAGE HAIR STUDIO', 'LEWAVE HAIR STUDIO']"
DEAR BEAUTY,['DAMARA BEAUTY']
DEE ALTERATION,"['EXPRESS ALTERATION', 'MH ALTERATION']"
DEGREE HAIR STUDIO,"['DE ARTE HAIR STUDIO', 'DE HAIR STUDIO']"
DELIFRANCE,['DÉLIFRANCE']
DJ SALON,"['J SALON', 'JON SALON']"
DO MY HAIR,['DBOM HAIR']
DODO EXPRESS,['FOTO EXPRESS']
DR KONG,['DR. KONG']
DR. KONG,['DR KONG']
DR. SOLUTIONS AESTHETIC CLINIC,['DR. SOLUTIONS AESTHETIC MEDISPA']
DR. SOLUTIONS AESTHETIC MEDISPA,['DR. SOLUTIONS AESTHETIC CLINIC']
DR. STRETCH,['DR.STRETCH']
DR.STRETCH,['DR. STRETCH']
DTAP EXPRESS,['THAI EXPRESS']
DÉLIFRANCE,['DELIFRANCE']
D’PENYETZ,"[""D'PENYETZ""]"
E FASHION,"['55 FASHION', 'ELVA FASHION', 'KJ FASHION', 'OLLEH FASHION', 'QQ FASHION', 'YOUME FASHION', 'ZR FASHION']"
EAZEA SMART LOCK,['EAZEA SMART LOOK']
EAZEA SMART LOOK,['EAZEA SMART LOCK']
EBEAUTY,"['EX BEAUTY', 'ZEN BEAUTY']"
EC HOUSE,"['EZY HOUSE', 'TECH HOUSE']"
ECOK CHARCOAL HOUSE,['CHARCOAL HOUSE']
EDUFIRST LEARNING CENTRE,['MUZART LEARNING CENTRE']
EDWIN LIM MEDICAL AESTHETIC CLINIC,"['21 MEDICAL AESTHETICS CLINIC', 'VALE MEDICAL AESTHETICS CLINIC']"
EIO SALON,['I SALON']
ELAN HAIR STUDIO,"['2NE HAIR STUDIO', 'DE HAIR STUDIO', 'LEWAVE HAIR STUDIO']"
ELISS MEDICAL CLINIC,['TRUE MEDICAL CLINIC']
ELVA FASHION,['E FASHION']
EMINU,['FEMINU']
ENG'S WANTAN NOODLE,['ENG’S WANTAN NOODLE']
ENG’S WANTAN NOODLE,"[""ENG'S WANTAN NOODLE""]"
EROS BEAUTY & WELLNESS,"['EUDORA BEAUTY & WELLNESS', 'INNERSENSE BEAUTY & WELLNESS', 'WINE BEAUTY & WELLNESS']"
ESTETICA,['ESTETIKA']
ESTETIKA,['ESTETICA']
ETERN MEDICAL CLINIC,['TRUE MEDICAL CLINIC']
ETRO,['METRO']
EUDORA BEAUTY & WELLNESS,"['EROS BEAUTY & WELLNESS', 'WINE BEAUTY & WELLNESS']"
EVOLVE MMA,['EVOVLE MMA']
EVON NAIL & SPA,['LEVON NAIL SPA']
EVOVLE MMA,['EVOLVE MMA']
EX BEAUTY,"['EBEAUTY', 'ZEN BEAUTY']"
EXPRESS ALTERATION,['DEE ALTERATION']
EYE DO OPTIC,['EYEDO OPTIC']
EYE ESSENTIALS,['BEAUTY ESSENTIALS']
EYE STORY,['EYE THEORY']
EYE THEORY,['EYE STORY']
EYEBAR OPTICS,['EYECARE OPTIC']
EYECARE HOUSE,['EYEWEAR HOUSE']
EYECARE OPTIC,['EYEBAR OPTICS']
EYEDO OPTIC,['EYE DO OPTIC']
EYEWEAR COLLECTION,['YEN COLLECTION']
EYEWEAR HOUSE,['EYECARE HOUSE']
EZY HOUSE,['EC HOUSE']
FAITH EMPLOYMENT AGENCY,"['MY EMPLOYMENT AGENCY', 'TREND EMPLOYMENT AGENCY']"
FASHIONTV COSMETICS,['LISA FASHION COSMETICS']
FAST MOBILE,['JUST MOBILE']
FAUZY MONEY CHANGER,['$KY MONEY CHANGER']
FEMINU,['EMINU']
FIABA LANGUAGE CENTRE,['HUA LANGUAGE CENTRE']
FINGER BAR + STUDIO,['FINGER BAR STUDIO']
FINGER BAR STUDIO,['FINGER BAR + STUDIO']
FLASH COFFEE,['LA COFFEE']
FOOD BUDDY @BISTRO BYTES (OPENING SOON),"['SUGAR MUMMY @BISTRO BYTES (OPENING SOON)', 'XI YAN @BISTRO BYTES (OPENING SOON)']"
FOOT COURT REFLEXOLOGY,['FOOTNOTE REFLEXOLOGY']
FOOTNOTE REFLEXOLOGY,['FOOT COURT REFLEXOLOGY']
FOTO EXPRESS,['DODO EXPRESS']
FRAGRANCE,['JP FRAGRANCE']
FRESH,['IFRESH']
FRUIT BOOM,['FRUIT BOX']
FRUIT BOX,['FRUIT BOOM']
FU XIAO XIAN,['LUXIAOXIAN']
GADGET SOLUTION,['GADGET SURELUTION']
GADGET SURELUTION,['GADGET SOLUTION']
GARRETT POPCORN,['GARRETT POPCORN SHOPS']
GARRETT POPCORN SHOPS,['GARRETT POPCORN']
GELARE,['GELÁRE']
GELÁRE,['GELARE']
GG5,['GG<5']
GG<5,['GG5']
GINZA JEWELLERY,['AI JEWELLERY']
GJS JEWELLERY,"['SK JEWELLERY', 'YS JEWELLERY']"
GLORIA JEAN'S COFFEES,['GLORIA JEANS COFFEES']
GLORIA JEANS COFFEES,"[""GLORIA JEAN'S COFFEES""]"
GO NOODLE HOUSE,['QQ NOODLE HOUSE']
GOLD HUB JEWELLERY,['GOLDIE JEWELLERY']
GOLDIE JEWELLERY,['GOLD HUB JEWELLERY']
GUCCI,['UCCI']
GUESS ACCESSORIES,['YES ACCESSORIES']
H G FASHION,"['D&H FASHION', 'P B FASHION', 'Y K FASHION']"
HABIT (COMING SOON),['HOLLIN (COMING SOON)']
HAIR COUTURE,['HAIRY CULTURE']
HAIRY CULTURE,['HAIR COUTURE']
HANSIK KOREAN RESTAURANT,['MANNA KOREAN RESTAURANT']
HEGURU EDUCATION CENTRE,"['HUA CHENG EDUCATION CENTRE', 'YOU CHENG EDUCATION CENTRE']"
HELEN,"[""HELEN'S""]"
HELEN'S,['HELEN']
HENG HENG SNACK BAR,['CHOON HENG SNACK BAR']
HI-CLAW,['ICLAW']
HJ LUXURY,"['BJ LUXURY', 'JW LUXURY']"
HOLLIN (COMING SOON),['HABIT (COMING SOON)']
HOLOGATE SINGAPORE,['HOOTERS SINGAPORE']
HOME'S HARMONY,['HOME’S HARMONY']
HOME’S HARMONY,"[""HOME'S HARMONY""]"
HONOLULU CAFE,['HONOLULU CAFÉ']
HONOLULU CAFÉ,['HONOLULU CAFE']
HOOTERS SINGAPORE,['HOLOGATE SINGAPORE']
HOUSE OF TRADITIONAL JAVANESE MASSAGE,['HOUSE OF TRADITIONAL JAVANESE MASSAGE – COMING SOON']
HOUSE OF TRADITIONAL JAVANESE MASSAGE – COMING SOON,['HOUSE OF TRADITIONAL JAVANESE MASSAGE']
HUA CHENG EDUCATION CENTRE,"['HEGURU EDUCATION CENTRE', 'JIANG EDUCATION CENTRE', 'YOU CHENG EDUCATION CENTRE', 'YU CAI EDUCATION CENTRE']"
HUA LANGUAGE CENTRE,['FIABA LANGUAGE CENTRE']
HUEN'S BOUTIQUE,"[""N'S BOUTIQUE"", ""NS' BOUTIQUE""]"
HUGGS COFFEE,['HUGGS COFFEEBAR']
HUGGS COFFEEBAR,['HUGGS COFFEE']
I SALON,"['EIO SALON', 'I.M. SALON', 'J SALON', 'PRIX SALON', 'VIVA SALON']"
I.M. SALON,['I SALON']
IBEAUTE STUDIO,['BUTTER STUDIO']
ICHIBAN BOSHI,"['ICHIBAN SUSHI', 'ICHIBAN SUSHI/BOSHI']"
ICHIBAN FOOT REFLEXOLOGY,['MING FOOT REFLEXOLOGY']
ICHIBAN SUSHI,"['ICHIBAN BOSHI', 'ICHIBAN SUSHI/BOSHI']"
ICHIBAN SUSHI/BOSHI,"['ICHIBAN BOSHI', 'ICHIBAN SUSHI']"
ICLAW,['HI-CLAW']
ICON AESTHETICS,"['BIO AESTHETIC', 'BON AESTHETICS']"
ICON HAIR SALON,['J HAIR SALON']
ICONIQUE HAIR & BEAUTY SALON,['QUOTE HAIR & BEAUTY SALON']
IDATEN UDON,['ITADEN UDON']
IE COLLECTION,"['AK COLLECTIONS', 'IN.COLLECTIONS', 'KIZO COLLECTION', 'S COLLECTION', 'VIC COLLECTION', 'YEN COLLECTION']"
IFRESH,['FRESH']
IKURA JAPANESE RESTAURANT,"['AKASHI JAPANESE RESTAURANT', 'BOTAN JAPANESE RESTAURANT', 'MITSUBA JAPANESE RESTAURANT', 'OOTOYA JAPANESE RESTAURANT']"
IMAGE HAIR STUDIO,"['2NE HAIR STUDIO', 'DE HAIR STUDIO', 'KIMAGE HAIR STUDIO', 'PRIVATE HAIR STUDIO']"
IMAGO AESTHETIC,"['BIO AESTHETIC', 'MIRAGE AESTHETIC']"
IMPERIAL TREASURE FINE SHANGHAI CUISINE,['IMPERIAL TREASURE FINE TEOCHEW CUISINE']
IMPERIAL TREASURE FINE TEOCHEW CUISINE,['IMPERIAL TREASURE FINE SHANGHAI CUISINE']
IN.COLLECTIONS,['IE COLLECTION']
INNERSENSE BEAUTY & WELLNESS,"['EROS BEAUTY & WELLNESS', 'WINE BEAUTY & WELLNESS']"
INTO BEAUTY,['VAIN BEAUTY']
IPPO WELLNESS,['POSH WELLNESS']
ISMILE DENTAL SURGERY,"['Q&M DENTAL SURGERY', 'SPARKLE DENTAL SURGERY']"
ITADAKIMASU BY PARCO,"['SABAR – ITADAKIMASU BY PARCO', 'YAYOI – ITADAKIMASU BY PARCO']"
ITADEN UDON,['IDATEN UDON']
IVI AESTHETIC,"['BIO AESTHETIC', 'IZUMI AESTHETICS']"
IZUMI AESTHETICS,['IVI AESTHETIC']
J HAIR SALON,"['ICON HAIR SALON', 'MAAX HAIR SALON']"
J SALON,"['DJ SALON', 'I SALON', 'JON SALON']"
JALEESA JEWELLERY,"['LEE HWA JEWELLERY', 'UJADE JEWELLERY']"
JEAN YIP HAIRDRESSING,['JEAN YIP HAIRDRESSING/SALON/HUB']
JEAN YIP HAIRDRESSING/SALON/HUB,['JEAN YIP HAIRDRESSING']
JIA XIANG SARAWAK KOLO MEE,['JIA XIANG SARAWAK KUCHING KOLOMEE']
JIA XIANG SARAWAK KUCHING KOLOMEE,['JIA XIANG SARAWAK KOLO MEE']
JIA XIN JEWELLERY,['JIN XING JEWELLERY']
JIANG EDUCATION CENTRE,['HUA CHENG EDUCATION CENTRE']
JIN XING JEWELLERY,['JIA XIN JEWELLERY']
JM TAEKWONDO,['ACME TAEKWONDO']
JOEUN SALON,['JON SALON']
JOLLIBEAN,['JOLLIBEE']
JOLLIBEE,['JOLLIBEAN']
JON SALON,"['DJ SALON', 'J SALON', 'JOEUN SALON']"
JP FRAGRANCE,['FRAGRANCE']
JR NAILS & BEAUTY,"['M2 NAILS & BEAUTY', 'THANH NAILS & BEAUTY']"
JS MOBILE,['JUST MOBILE']
JUNSHIN EXPRESS,['SUSHI EXPRESS']
JUST MOBILE,"['FAST MOBILE', 'JS MOBILE']"
JW LUXURY,"['BJ LUXURY', 'HJ LUXURY']"
K&M BEAUTY AESTHETIC,"['CITI BEAUTY AESTHETIC', 'CITI BEAUTY AESTHETICS']"
KALO BEAUTY,"['KUKO BEAUTY', 'LOVE BEAUTY']"
KARVA SALON FOR FAMILY,['KARVA SALON FOR LADIES']
KAWAI MUSIC SCHOOL,"['ASIA MUSIC SCHOOL', 'YAMAHA MUSIC SCHOOL']"
KELLY BEAUTY SALON,['TAY BEAUTY SALON']
KIMAGE HAIR STUDIO,"['DE HAIR STUDIO', 'IMAGE HAIR STUDIO', 'PRIVATE HAIR STUDIO']"
KIMCHI NAIL & EYELASH,['NICBY NAILS & EYELASH']
KIYO,['KYO']
KIZO COLLECTION,"['AK COLLECTIONS', 'IE COLLECTION', 'S COLLECTION', 'VIC COLLECTION']"
KJ FASHION,"['E FASHION', 'Y K FASHION', 'YJJ FASHION']"
KJ OPTOMETRISTS,['OJO OPTOMETRIST']
KODAK EXPRESS,['KOI EXPRESS']
KOI EXPRESS,"['KODAK EXPRESS', 'KOI THÉ EXPRESS']"
KOI THÉ EXPRESS,['KOI EXPRESS']
KOPITIAM,['KOPITIME']
KOPITIME,['KOPITIAM']
KOREAN CUISINE,['SUNNY KOREAN CUISINE']
KOSME AESTHETICS,"['MODE AESTHETICS', 'SKYE AESTHETICS']"
KRAFER'S PARADISE,['SURFERS PARADISE']
KUKO BEAUTY,['KALO BEAUTY']
KUMON LEARNING CENTRE,['WANG LEARNING CENTRE']
KYO,['KIYO']
KYOTO SHOKUDO,['TOKYO SHOKUDO']
L.E. UNDERGROUND,"['LE UNDERGROUND', 'THE UNDERGROUND']"
LA BARBER SHOP,['SULTANS BARBERSHOP']
LA COFFEE,['FLASH COFFEE']
LA PEAU BEAUTY SALON,['AUBE BEAUTY SALON']
LA WEN BOUTIQUE,['LEE BOUTIQUE']
LADERACH CHOCOLATIER SUISSE,['LÄDERACH CHOCOLATIER SUISSE']
LAU WANG CLAYPOT,['LAU WANG CLAYPOT LEGACY']
LAU WANG CLAYPOT LEGACY,['LAU WANG CLAYPOT']
LE UNDERGROUND,"['L.E. UNDERGROUND', 'THE UNDERGROUND']"
LEE BOUTIQUE,"['LA WEN BOUTIQUE', 'LUX BOUTIQUE']"
LEE HWA JEWELLERY,['JALEESA JEWELLERY']
LEGO,['LEO']
LEO,['LEGO']
LEVON NAIL SPA,['EVON NAIL & SPA']
LEWAVE HAIR STUDIO,"['DE ARTE HAIR STUDIO', 'DE HAIR STUDIO', 'ELAN HAIR STUDIO']"
LI HUA,['XI HUA']
LINDA GALLERY,['LINEN GALLERY']
LINDA NAILS,"['BIENA NAILS', 'LYNA NAILS']"
LINEN GALLERY,['LINDA GALLERY']
LISA FASHION COSMETICS,['FASHIONTV COSMETICS']
LITTLE CAESARS PIZZA,['LITTLE CAESARS® PIZZA']
LITTLE CAESARS® PIZZA,['LITTLE CAESARS PIZZA']
LITTLE TEA HOUSE BY SOUP RESTAURANT,['TEAHOUSE BY SOUP RESTAURANT']
LIV ACTIV,['LIV ACTIVE']
LIV ACTIVE,['LIV ACTIV']
LOVE BEAUTY,['KALO BEAUTY']
LOVE JEWELLERY,['LOVE LINK JEWELLERY']
LOVE LINK JEWELLERY,['LOVE JEWELLERY']
LUMINE,['LUMINESS']
LUMINESS,['LUMINE']
LUSH,['BLUSH']
LUSTER OPTICAL HOUSE,['SOUTHERN OPTICAL HOUSE']
LUX BOUTIQUE,['LEE BOUTIQUE']
LUXIAOXIAN,['FU XIAO XIAN']
LYNA NAILS,['LINDA NAILS']
LÄDERACH CHOCOLATIER SUISSE,['LADERACH CHOCOLATIER SUISSE']
M.G.M FOREIGN EXCHANGE,"['AJS FOREIGN EXCHANGE', 'M.G.M. FOREIGN EXCHANGE']"
M.G.M. FOREIGN EXCHANGE,['M.G.M FOREIGN EXCHANGE']
M2 NAILS & BEAUTY,"['JR NAILS & BEAUTY', 'THANH NAILS & BEAUTY']"
MA MAISON – ITADAKIMASU BY PARCO,"['SABAR – ITADAKIMASU BY PARCO', 'YAYOI – ITADAKIMASU BY PARCO']"
MAAX HAIR SALON,['J HAIR SALON']
MANNA KOREAN RESTAURANT,['HANSIK KOREAN RESTAURANT']
MANNE QUEEN,['MANNEQUEEN']
MANNEQUEEN,['MANNE QUEEN']
MARY FASHION,['ZR FASHION']
MCDONALD'S,['MCDONALD’S']
MCDONALD’S,"[""MCDONALD'S""]"
MENG MENG ALTERATION CENTRE,['MENG YEE ALTERATION CENTRE']
MENG YEE ALTERATION CENTRE,['MENG MENG ALTERATION CENTRE']
METRO,['ETRO']
MEYSON JEWELLERY,"['YOUNG JEWELLERY', 'YS JEWELLERY']"
MH ALTERATION,"['DEE ALTERATION', 'MICHELLE ALTERATION']"
MICHELLE ALTERATION,['MH ALTERATION']
MING FOOT REFLEXOLOGY,"['ICHIBAN FOOT REFLEXOLOGY', 'PINKIES FOOT REFLEXOLGY']"
MINISO,['MINISQ']
MINISQ,['MINISO']
MINT MEDICAL CENTRE,"['CHINESE MEDICAL CENTRE', 'NUHEALTH MEDICAL CENTRE']"
MIRAGE AESTHETIC,['IMAGO AESTHETIC']
MITSUBA JAPANESE RESTAURANT,"['BOTAN JAPANESE RESTAURANT', 'IKURA JAPANESE RESTAURANT', 'OOTOYA JAPANESE RESTAURANT']"
MIZU AESTHETIC CLINIC,"['BK AESTHETICS CLINIC', 'SL AESTHETIC CLINIC']"
MOBILE ART,['MOBILER STAR']
MOBILE FASHION,['OLLEH FASHION']
MOBILER STAR,['MOBILE ART']
MODE AESTHETICS,"['A.M AESTHETICS', 'BON AESTHETICS', 'KOSME AESTHETICS', 'MEDICELS AESTHETICS', 'MOZA AESTHETICS']"
MOHAN'S CUSTOM TAILORS,"[""SAM'S CUSTOM TAILOR""]"
MOZA AESTHETICS,"['A.M AESTHETICS', 'BON AESTHETICS', 'MODE AESTHETICS']"
MR COCONUT,['MR. COCONUT']
MR DIY,['MR.DIY']
MR TEH TARIK EXPRESS,['MR. TEH TARIK EXPRESS']
MR YOU TIAO,['MR YOUTIAO']
MR YOUTIAO,['MR YOU TIAO']
MR. COCONUT,['MR COCONUT']
MR. TEH TARIK EXPRESS,['MR TEH TARIK EXPRESS']
MR.DIY,['MR DIY']
MUSE HAIRDRESSING,"['CREME HAIRDRESSING', 'SUBLIME HAIRDRESSING', 'TASSELS HAIRDRESSING']"
MUZART LEARNING CENTRE,"['EDUFIRST LEARNING CENTRE', 'WANG LEARNING CENTRE']"
MY EMPLOYMENT AGENCY,"['FAITH EMPLOYMENT AGENCY', 'TREND EMPLOYMENT AGENCY']"
N'S BOUTIQUE,"[""HUEN'S BOUTIQUE"", ""NS' BOUTIQUE"", 'S&M BOUTIQUE']"
NAIL GALLERY,['NAILZ GALLERY']
NAIL SLUT SPA,['NAILSLUT SPA']
NAILSLUT SPA,['NAIL SLUT SPA']
NAILZ GALLERY,['NAIL GALLERY']
NAM NAM,['NAMNAM']
NAMNAM,['NAM NAM']
NAVIS HAIR & BEAUTY SALON,"['ICONIQUE HAIR & BEAUTY SALON', 'SANDY HAIR & BEAUTY SALON']"
NEWLIFE DENTAL PRACTICE,['THE DENTAL PRACTICE']
NICBY NAILS & EYELASH,['KIMCHI NAIL & EYELASH']
NICE STUDIO,['TIME STUDIO']
NIU MEI REN @BISTRO BYTES (OPENING SOON),['XI YAN @BISTRO BYTES (OPENING SOON)']
